time,open,high,low,close,volume
2021-01-15 16:06:00,824.98,826.16,824.74,824.74,13592
2021-01-15 16:05:00,824.79,825.45,824.79,824.98,9236
2021-01-15 16:04:00,825.0,825.24,824.58,824.94,7744
2021-01-15 16:03:00,826.16,826.16,824.71,825.0,35734
2021-01-15 16:02:00,825.99,826.16,825.3,826.16,83301
2021-01-15 16:01:00,826.16,826.72,825.9,826.11,33940
2021-01-15 16:00:00,826.555,826.69,825.55,826.16,356688
2021-01-15 15:59:00,826.59,826.69,826.07,826.47,122983
2021-01-15 15:58:00,825.61,826.7222,825.56,826.66,102213
2021-01-15 15:57:00,826.22,826.85,825.5301,825.65,97570
2021-01-15 15:56:00,826.36,826.84,825.25,826.1118,138839
2021-01-15 15:55:00,827.58,827.58,825.34,826.4188,138145
2021-01-15 15:54:00,827.53,827.78,827.24,827.6,88786
2021-01-15 15:53:00,826.97,827.58,826.76,827.5,127116
2021-01-15 15:52:00,825.52,827.19,825.34,826.98,95808
2021-01-15 15:51:00,825.77,826.42,824.56,825.42,110206
2021-01-15 15:50:00,824.1,825.906,824.1,825.21,116750
2021-01-15 15:49:00,825.3,825.565,823.76,824.23,96328
2021-01-15 15:48:00,824.96,825.72,824.3447,825.31,72953
2021-01-15 15:47:00,824.17,825.24,823.9,824.78,88256
2021-01-15 15:46:00,824.24,825.0,824.12,824.29,66890
2021-01-15 15:45:00,824.58,824.785,823.95,824.33,98981
2021-01-15 15:44:00,825.4701,825.74,824.17,824.52,80503
2021-01-15 15:43:00,826.0,826.93,825.27,825.4785,72184
2021-01-15 15:42:00,826.46,826.54,825.7226,825.92,65330
2021-01-15 15:41:00,827.04,827.25,826.01,826.4887,65975
2021-01-15 15:40:00,827.76,828.2199,826.07,827.0476,108760
2021-01-15 15:39:00,827.445,829.0,827.32,827.8859,149278
2021-01-15 15:38:00,827.527,828.0,827.07,827.4091,104842
2021-01-15 15:37:00,825.9877,830.49,825.75,827.5,198438
2021-01-15 15:36:00,824.0,826.0,824.0,825.96,105284
2021-01-15 15:35:00,823.9602,824.6,823.85,824.0,39236
2021-01-15 15:34:00,823.58,824.84,822.32,823.985,80674
2021-01-15 15:33:00,823.37,823.8,823.2,823.77,49540
2021-01-15 15:32:00,824.35,824.4,823.09,823.3899,61449
2021-01-15 15:31:00,825.0,825.62,823.8801,824.53,68482
2021-01-15 15:30:00,825.6524,826.14,824.75,825.02,80087
2021-01-15 15:29:00,824.6606,825.95,824.0,825.6,72391
2021-01-15 15:28:00,824.6617,825.0,823.515,824.58,54548
2021-01-15 15:27:00,824.5,825.1767,823.75,824.71,80499
2021-01-15 15:26:00,823.5,824.5,822.22,824.44,85449
2021-01-15 15:25:00,822.5191,823.7128,822.5191,823.45,36924
2021-01-15 15:24:00,822.96,823.72,822.5,822.51,39955
2021-01-15 15:23:00,823.805,824.5,821.0,822.78,94933
2021-01-15 15:22:00,822.46,824.37,822.2585,823.9,71722
2021-01-15 15:21:00,823.6743,824.0,821.68,822.376,107326
2021-01-15 15:20:00,824.65,825.5517,823.5,823.7448,61852
2021-01-15 15:19:00,825.01,825.65,824.26,824.5664,57517
2021-01-15 15:18:00,825.2076,826.12,824.8,825.0,90181
2021-01-15 15:17:00,825.76,827.0,825.01,825.37,103939
2021-01-15 15:16:00,823.34,826.45,823.234,825.79,151920
2021-01-15 15:15:00,823.43,824.0,822.62,823.3135,61361
2021-01-15 15:14:00,824.62,824.65,822.625,823.41,76589
2021-01-15 15:13:00,822.18,824.917,822.18,824.4035,96085
2021-01-15 15:12:00,821.8539,823.62,821.8539,822.53,143383
2021-01-15 15:11:00,820.83,823.16,820.5633,822.0,104808
2021-01-15 15:10:00,820.7418,822.24,819.32,820.86,140852
2021-01-15 15:09:00,819.2,821.34,819.1,820.69,172460
2021-01-15 15:08:00,821.33,821.6899,819.12,819.2,273632
2021-01-15 15:07:00,822.18,823.5,821.24,821.24,115258
2021-01-15 15:06:00,824.4308,824.9199,821.3065,822.24,198932
2021-01-15 15:05:00,825.67,826.95,824.22,824.305,120249
2021-01-15 15:04:00,823.95,826.62,823.95,825.37,196866
2021-01-15 15:03:00,822.825,823.9399,822.16,823.8132,80707
2021-01-15 15:02:00,823.625,825.1,822.65,822.825,142892
2021-01-15 15:01:00,823.5399,824.7,823.3,823.5706,98417
2021-01-15 15:00:00,823.0,823.75,822.0803,823.31,69374
